Timestamp,output-volume
2011-07-22 00:00:00,1559055.16716813
2011-07-25 00:00:00,1442003.58869779
2011-07-28 00:00:00,3400297.35086567
2011-07-31 00:00:00,603028.019087051
2011-08-03 00:00:00,415841.682211481
2011-08-06 00:00:00,385468.10229894
2011-08-09 00:00:00,2488023.7558887
2011-08-12 00:00:00,345156.334791198
2011-08-15 00:00:00,339976.157557003
2011-08-18 00:00:00,407482.683067309
2011-08-21 00:00:00,250898.26811619
2011-08-24 00:00:00,566392.513406741
2011-08-27 00:00:00,2711595.26159787
2011-08-30 00:00:00,244186.903702869
2011-09-02 00:00:00,261134.69142115
2011-09-05 00:00:00,2273546.53317067
2011-09-08 00:00:00,394870.54838177
2011-09-11 00:00:00,1019854.45416211
2011-09-14 00:00:00,302619.02454442
2011-09-17 00:00:00,354198.94577762
2011-09-20 00:00:00,353525.55996724
2011-09-23 00:00:00,345135.87947771
2011-09-26 00:00:00,285184.61163435
2011-09-29 00:00:00,333784.49058292
2011-10-02 00:00:00,322246.9086413
2011-10-05 00:00:00,407553.18218453
2011-10-08 00:00:00,283462.40390798
2011-10-11 00:00:00,333061.89571592
2011-10-14 00:00:00,277350.76002233
2011-10-17 00:00:00,486050.816507012
2011-10-20 00:00:00,298476.896338189
2011-10-23 00:00:00,570977.962649809
2011-10-26 00:00:00,429847.492393439
2011-10-29 00:00:00,456930.598278288
2011-11-01 00:00:00,539837.818256272
2011-11-04 00:00:00,400492.824775778
2011-11-07 00:00:00,269280.29948489
2011-11-10 00:00:00,361640.375514469
2011-11-13 00:00:00,250028.481132371
2011-11-16 00:00:00,2032325.79456675
2011-11-19 00:00:00,4126706.46765028
2011-11-22 00:00:00,3594803.50912682
2011-11-25 00:00:00,1088524.81327342
2011-11-28 00:00:00,4013831.0875746
2011-12-01 00:00:00,2124335.45524813
2011-12-04 00:00:00,2950081.7935947
2011-12-07 00:00:00,5610246.4255729
2011-12-10 00:00:00,1129167.9308208
2011-12-13 00:00:00,354438.055882901
2011-12-16 00:00:00,503142.281455101
2011-12-19 00:00:00,485365.338243969
2011-12-22 00:00:00,438479.169716418
2011-12-25 00:00:00,306629.2870686
2011-12-28 00:00:00,283396.82627803
2011-12-31 00:00:00,270535.606297491
2012-01-03 00:00:00,270742.97196559
2012-01-06 00:00:00,612913.552101019
2012-01-09 00:00:00,449033.58451113
2012-01-12 00:00:00,363660.158261599
2012-01-15 00:00:00,275751.570057431
2012-01-18 00:00:00,377649.761346862
