Timestamp,n-transactions-excluding-popular
2012-01-15 00:00:00,6312
2012-01-18 00:00:00,6647
2012-01-21 00:00:00,6366
2012-01-24 00:00:00,7268
2012-01-27 00:00:00,6337
2012-01-30 00:00:00,6153
2012-02-02 00:00:00,7164
2012-02-05 00:00:00,6774
2012-02-08 00:00:00,7024
2012-02-11 00:00:00,7679
2012-02-14 00:00:00,9489
2012-02-17 00:00:00,6778
2012-02-20 00:00:00,6339
2012-02-23 00:00:00,8014
2012-02-26 00:00:00,5821
2012-02-29 00:00:00,6719
2012-03-03 00:00:00,5187
2012-03-06 00:00:00,6368
2012-03-09 00:00:00,6502
2012-03-12 00:00:00,6141
2012-03-15 00:00:00,6284
2012-03-18 00:00:00,6039
2012-03-21 00:00:00,7000
2012-03-24 00:00:00,6371
2012-03-27 00:00:00,6666
2012-03-30 00:00:00,6828
2012-04-02 00:00:00,6472
2012-04-05 00:00:00,7028
2012-04-08 00:00:00,5915
2012-04-11 00:00:00,7858
2012-04-14 00:00:00,7845
2012-04-17 00:00:00,7805
2012-04-20 00:00:00,8285
2012-04-23 00:00:00,7104
2012-04-26 00:00:00,10099
2012-04-29 00:00:00,7729
2012-05-02 00:00:00,9978
2012-05-05 00:00:00,12998
2012-05-08 00:00:00,17719
2012-05-11 00:00:00,19061
2012-05-14 00:00:00,28349
2012-05-17 00:00:00,16935
2012-05-20 00:00:00,31460
2012-05-23 00:00:00,27432
2012-05-26 00:00:00,23279
2012-05-29 00:00:00,29816
2012-06-01 00:00:00,27069
2012-06-04 00:00:00,45938
2012-06-07 00:00:00,33203
2012-06-10 00:00:00,40721
2012-06-13 00:00:00,56794
2012-06-16 00:00:00,43282
2012-06-19 00:00:00,35962
2012-06-22 00:00:00,23565
2012-06-25 00:00:00,28713
2012-06-28 00:00:00,26522
2012-07-01 00:00:00,19276
2012-07-04 00:00:00,23164
2012-07-07 00:00:00,25615
2012-07-10 00:00:00,35080
2012-07-13 00:00:00,24556
2012-07-16 00:00:00,31379
2012-07-19 00:00:00,31035
2012-07-22 00:00:00,34860
2012-07-25 00:00:00,27327
2012-07-28 00:00:00,35230
2012-07-31 00:00:00,41507
2012-08-03 00:00:00,27780
2012-08-06 00:00:00,35400
2012-08-09 00:00:00,29942
2012-08-12 00:00:00,34636
2012-08-15 00:00:00,52969
2012-08-18 00:00:00,37162
2012-08-21 00:00:00,42415
2012-08-24 00:00:00,32275
2012-08-27 00:00:00,33096
2012-08-30 00:00:00,33914
2012-09-02 00:00:00,33588
2012-09-05 00:00:00,41135
2012-09-08 00:00:00,31173
