Timestamp,n-transactions-per-block
2011-11-15 00:00:00,37.0060606060606
2011-11-18 00:00:00,38.8646616541353
2011-11-21 00:00:00,40.4237288135593
2011-11-24 00:00:00,44.4070796460177
2011-11-27 00:00:00,44.3947368421053
2011-11-30 00:00:00,42.4844720496894
2011-12-03 00:00:00,37.0460526315789
2011-12-06 00:00:00,46.6549707602339
2011-12-09 00:00:00,38.0136054421769
2011-12-12 00:00:00,38.2834645669291
2011-12-15 00:00:00,43.3035714285714
2011-12-18 00:00:00,32.1666666666667
2011-12-21 00:00:00,37.4295302013423
2011-12-24 00:00:00,32.1241379310345
2011-12-27 00:00:00,35.9379310344828
2011-12-30 00:00:00,35.5704225352113
2012-01-02 00:00:00,35.8278145695364
2012-01-05 00:00:00,47.578231292517
2012-01-08 00:00:00,39.2883435582822
2012-01-11 00:00:00,46.6601307189542
2012-01-14 00:00:00,45.38
2012-01-17 00:00:00,42.7911392405063
2012-01-20 00:00:00,46.7586206896552
2012-01-23 00:00:00,35.8823529411765
2012-01-26 00:00:00,47.8115942028985
2012-01-29 00:00:00,38.4790419161677
2012-02-01 00:00:00,46.113475177305
2012-02-04 00:00:00,46.0955414012739
2012-02-07 00:00:00,51.1824817518248
2012-02-10 00:00:00,61.2753623188406
2012-02-13 00:00:00,58.3357664233577
2012-02-16 00:00:00,69.1086956521739
2012-02-19 00:00:00,37.7088607594937
2012-02-22 00:00:00,45.2452830188679
2012-02-25 00:00:00,38.2181818181818
2012-02-28 00:00:00,42.03125
2012-03-02 00:00:00,57.0522388059701
2012-03-05 00:00:00,48.1310344827586
2012-03-08 00:00:00,42.5448717948718
2012-03-11 00:00:00,38.9776119402985
2012-03-14 00:00:00,50.3284671532847
2012-03-17 00:00:00,40.4470588235294
2012-03-20 00:00:00,42.7125
2012-03-23 00:00:00,48.8571428571429
2012-03-26 00:00:00,43.8344370860927
2012-03-29 00:00:00,53.3191489361702
2012-04-01 00:00:00,39.1760563380282
2012-04-04 00:00:00,52.1386861313869
2012-04-07 00:00:00,47.1317829457364
2012-04-10 00:00:00,57.6054421768707
2012-04-13 00:00:00,58.25
2012-04-16 00:00:00,57.18
2012-04-19 00:00:00,50.3184713375796
2012-04-22 00:00:00,45.3857142857143
2012-04-25 00:00:00,59.503937007874
2012-04-28 00:00:00,48.8618421052632
2012-05-01 00:00:00,60.0470588235294
2012-05-04 00:00:00,87.5652173913043
2012-05-07 00:00:00,107.335294117647
2012-05-10 00:00:00,91.3333333333333
2012-05-13 00:00:00,105.264285714286
2012-05-16 00:00:00,149.404958677686
2012-05-19 00:00:00,237.610738255034
2012-05-22 00:00:00,204.173913043478
2012-05-25 00:00:00,239.661157024793
2012-05-28 00:00:00,210.478873239437
2012-05-31 00:00:00,152.268115942029
2012-06-03 00:00:00,219.614379084967
2012-06-06 00:00:00,104.16339869281
2012-06-09 00:00:00,193.27485380117
2012-06-12 00:00:00,116.942307692308
2012-06-15 00:00:00,345.823899371069
2012-06-18 00:00:00,223.262857142857
2012-06-21 00:00:00,196.926470588235
2012-06-24 00:00:00,170.931297709924
2012-06-27 00:00:00,189.41717791411
2012-06-30 00:00:00,171.348484848485
2012-07-03 00:00:00,141.66875
2012-07-06 00:00:00,154.296774193548
2012-07-09 00:00:00,154.165644171779
2012-07-12 00:00:00,162.02
2012-07-15 00:00:00,188.178571428571
2012-07-18 00:00:00,210.245161290323
2012-07-21 00:00:00,245.340425531915
2012-07-24 00:00:00,176.204968944099
2012-07-27 00:00:00,152.556179775281
2012-07-30 00:00:00,195.426136363636
2012-08-02 00:00:00,201.278787878788
2012-08-05 00:00:00,239.446043165468
2012-08-08 00:00:00,241.975903614458
2012-08-11 00:00:00,197.255952380952
2012-08-14 00:00:00,219.783439490446
2012-08-17 00:00:00,293.869565217391
2012-08-20 00:00:00,205.959770114943
2012-08-23 00:00:00,192.836363636364
2012-08-26 00:00:00,164.916201117318
2012-08-29 00:00:00,203.625
2012-09-01 00:00:00,253.254658385093
2012-09-04 00:00:00,261.084967320261
2012-09-07 00:00:00,199.303571428571
2012-09-10 00:00:00,224.213333333333
2012-09-13 00:00:00,223.269230769231
2012-09-16 00:00:00,176.490683229814
2012-09-19 00:00:00,228.58865248227
2012-09-22 00:00:00,140.216560509554
2012-09-25 00:00:00,173.935251798561
2012-09-28 00:00:00,207.392405063291
2012-10-01 00:00:00,188.75572519084
2012-10-04 00:00:00,247.713178294574
2012-10-07 00:00:00,277.808
2012-10-10 00:00:00,209.570469798658
2012-10-13 00:00:00,223.581081081081
2012-10-16 00:00:00,222.793548387097
2012-10-19 00:00:00,187.283582089552
2012-10-22 00:00:00,274.866242038217
2012-10-25 00:00:00,188.797202797203
2012-10-28 00:00:00,108.222891566265
2012-10-31 00:00:00,191.916083916084
2012-11-03 00:00:00,163.691780821918
2012-11-06 00:00:00,236.933333333333
2012-11-09 00:00:00,165.506578947368
2012-11-12 00:00:00,181.083333333333
2012-11-15 00:00:00,276.5
2012-11-18 00:00:00,233.808219178082
2012-11-21 00:00:00,257.013157894737
2012-11-24 00:00:00,196.807947019868
2012-11-27 00:00:00,186.702702702703
2012-11-30 00:00:00,238.064
2012-12-03 00:00:00,147.340136054422
2012-12-06 00:00:00,271.262773722628
2012-12-09 00:00:00,254.436507936508
2012-12-12 00:00:00,282.584615384615
2012-12-15 00:00:00,279.008620689655
2012-12-18 00:00:00,398.496
2012-12-21 00:00:00,353.809523809524
2012-12-24 00:00:00,273.568181818182
2012-12-27 00:00:00,280.685897435897
2012-12-30 00:00:00,273.777108433735
2013-01-02 00:00:00,257.732026143791
2013-01-05 00:00:00,280.822695035461
2013-01-08 00:00:00,290.406015037594
2013-01-11 00:00:00,450.846153846154
2013-01-14 00:00:00,283.821656050955
2013-01-17 00:00:00,433.333333333333
2013-01-20 00:00:00,318.238461538462
2013-01-23 00:00:00,370.460317460317
2013-01-26 00:00:00,335.679487179487
2013-01-29 00:00:00,327.23417721519
2013-02-01 00:00:00,403.959183673469
2013-02-04 00:00:00,335.396341463415
2013-02-07 00:00:00,397.642857142857
2013-02-10 00:00:00,350.577639751553
2013-02-13 00:00:00,345.555555555556
2013-02-16 00:00:00,272.132275132275
2013-02-19 00:00:00,342.88679245283
2013-02-22 00:00:00,365.711764705882
2013-02-25 00:00:00,329.137254901961
2013-02-28 00:00:00,375.125
2013-03-03 00:00:00,338.254658385093
2013-03-06 00:00:00,404.903225806452
2013-03-09 00:00:00,328.674556213018
2013-03-12 00:00:00,359.140740740741
2013-03-15 00:00:00,364.976744186047
2013-03-18 00:00:00,228.868421052632
2013-03-21 00:00:00,254.880733944954
2013-03-24 00:00:00,271.613756613757
2013-03-27 00:00:00,406.160305343511
2013-03-30 00:00:00,342.173410404624
2013-04-02 00:00:00,349.591160220994
2013-04-05 00:00:00,388.436708860759
2013-04-08 00:00:00,397.935483870968
2013-04-11 00:00:00,427.54375
2013-04-14 00:00:00,362.555555555556
2013-04-17 00:00:00,331.614035087719
2013-04-20 00:00:00,313.649350649351
2013-04-23 00:00:00,367.071428571429
