Timestamp,n-unique-addresses
2012-08-23 00:00:00,35374
2012-08-26 00:00:00,27899
2012-08-29 00:00:00,32397
2012-09-01 00:00:00,36448
2012-09-04 00:00:00,33419
2012-09-07 00:00:00,33314
2012-09-10 00:00:00,30504
2012-09-13 00:00:00,27581
2012-09-16 00:00:00,25556
2012-09-19 00:00:00,34730
2012-09-23 00:00:00,23802
2012-09-26 00:00:00,36372
2012-09-29 00:00:00,27182
2012-10-02 00:00:00,38050
2012-10-05 00:00:00,35733
2012-10-08 00:00:00,38115
2012-10-11 00:00:00,31805
2012-10-14 00:00:00,30286
2012-10-17 00:00:00,34926
2012-10-20 00:00:00,32674
2012-10-23 00:00:00,30902
2012-10-26 00:00:00,27826
2012-10-29 00:00:00,22575
2012-11-01 00:00:00,23851
2012-11-04 00:00:00,22730
2012-11-07 00:00:00,33072
2012-11-10 00:00:00,23652
2012-11-13 00:00:00,25520
2012-11-16 00:00:00,36029
2012-11-19 00:00:00,33235
2012-11-22 00:00:00,32289
2012-11-25 00:00:00,27861
2012-11-28 00:00:00,34110
2012-12-01 00:00:00,26710
2012-12-04 00:00:00,28801
2012-12-07 00:00:00,30025
2012-12-10 00:00:00,26226
2012-12-13 00:00:00,34817
2012-12-17 00:00:00,33323
2012-12-20 00:00:00,29958
2012-12-23 00:00:00,29746
2012-12-26 00:00:00,24736
2012-12-30 00:00:00,36923
2013-01-02 00:00:00,34292
2013-01-05 00:00:00,41729
2013-01-08 00:00:00,38444
2013-01-11 00:00:00,47149
2013-01-14 00:00:00,33866
2013-01-17 00:00:00,42864
2013-01-20 00:00:00,35085
2013-01-23 00:00:00,36638
2013-01-26 00:00:00,41077
2013-01-29 00:00:00,41048
2013-02-01 00:00:00,49764
2013-02-04 00:00:00,42775
2013-02-07 00:00:00,44492
2013-02-10 00:00:00,45056
2013-02-13 00:00:00,40623
2013-02-16 00:00:00,37997
2013-02-19 00:00:00,39820
2013-02-22 00:00:00,43738
2013-02-25 00:00:00,44281
2013-02-28 00:00:00,46076
2013-03-03 00:00:00,35819
2013-03-06 00:00:00,53581
2013-03-09 00:00:00,41221
2013-03-12 00:00:00,44677
2013-03-15 00:00:00,51708
2013-03-18 00:00:00,46404
2013-03-21 00:00:00,52089
2013-03-24 00:00:00,57217
2013-03-27 00:00:00,58532
2013-03-30 00:00:00,60965
2013-04-02 00:00:00,72700
2013-04-05 00:00:00,84264
2013-04-08 00:00:00,94011
2013-04-11 00:00:00,96628
2013-04-14 00:00:00,57893
2013-04-17 00:00:00,86804
2013-04-20 00:00:00,62602
2013-04-23 00:00:00,78421
2013-04-26 00:00:00,72592
2013-04-29 00:00:00,73560
2013-05-02 00:00:00,65415
2013-05-06 00:00:00,69183
2013-05-09 00:00:00,69602
2013-05-12 00:00:00,58799
2013-05-15 00:00:00,68388
2013-05-18 00:00:00,55552
2013-05-21 00:00:00,67890
2013-05-24 00:00:00,68107
2013-05-27 00:00:00,59658
2013-05-30 00:00:00,63472
2013-06-02 00:00:00,51180
2013-06-05 00:00:00,65079
2013-06-08 00:00:00,47541
2013-06-11 00:00:00,56360
2013-06-14 00:00:00,63694
2013-06-17 00:00:00,47538
2013-06-20 00:00:00,54098
